,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,,,,,,Assoc,,Addl,Earthquake Location,,,Earthquake Parameters,,,Earthquake Effects,,,,,,,,,,,,"Total Effects (Earthquake and Tsunami, Volcano, etc.)",,,,,,,,,,,
,,,,,,,,EQ,,,,Focal,Mag,MMI Int,Deaths,,Missing,,Injuries,,Damage,,Houses,,Houses,,Deaths,,Missing,,Injuries,,Damage,,Houses,,Houses,
,,,,,,,,Info,,,,Depth,,,,,,,,,,,Destroyed,,Damaged,,,,,,,,,,Destroyed,,Damaged,
Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,,Name,Latitude,Longitude,,,,Num,De,Num,De,Num,De,$Mill,De,Num,De,Num,De,Num,De,Num,De,Num,De,$Mill,De,Num,De,Num,De
1895,4,14,20,17,30,,,*,BALKANS NW: SLOVENIA: LJUBLJANA,46.1,14.5,16,6.1,9,7,1,,,,,,3,,3,,,7,1,,,,,,3,,3,,
1895,7,8,21,30,,Tsu,,*,TURKMENISTAN: UZUN-ADA,39.5,53.7,60,8.2,10,,,,,,,,3,,3,,,,,,,,,,3,,3,,
1896,9,23,23,20,,,,*,AFGHANISTAN,37,71,160,7.5,6,,,,,,,,,,,,,,,,,,,,,,,,
1896,11,1,5,1,,,,*,CHINA: XINJIANG PROVINCE: KASHGAR,39.7,75.9,25,6.6,8,7,1,,,5,1,,2,73,2,73,2,7,1,,,5,1,,2,73,2,,
1896,11,18,2,6,,,,*,RUSSIA: KURIL ISLANDS,43.5,146,40,7.6,9,,,,,,,,,,,,,,,,,,,,,,,,
1897,1,11,3,0,,,,*,"IRAN: QESHM ISLAND, LARAK ISLAND",26.95,56.26,33,6.1,8,1600,4,,,,,,4,,4,,,1600,4,,,,,,4,,4,,
1897,5,10,5,26,,,,*,"AUSTRALIA: BEACHPORT,ROBE,KINGSTON,MOUNT GAMBIER",-37.3,139.7,14,6.5,9,,,,,,,,,,,,,,,,,,,,,,,,
1897,5,13,11,22,,,,*,PHILIPPINES: MASBATE ISLAND,12,124,33,7.9,8,,,,,,,,3,,2,,,,,,,,,,3,,2,,
1897,6,12,11,6,,Tsu,,*,INDIA: ASSAM,26,91,33,8,10,1542,4,,,,,,4,,4,,4,1542,4,,,,,,4,,4,,
1897,8,15,12,18,,,,*,PHILIPPINES: LUZON: ILOCOS SUR,18,120,33,7.9,8,,,,,,,,1,,,,2,,,,,,,,1,,,,2
1897,9,20,16,25,,,,*,PERU,-11.9,-76.8,70,7.7,7,,,,,,,,,,,,,,,,,,,,,,,,
1897,9,20,19,6,,Tsu,,*,PHILIPPINES: NW MINDANAO: DAPITAN,6,122,33,8.6,7,,,,,,,,1,,,,1,,,,,,,,1,,,,1
1897,9,21,5,12,,Tsu,,*,"PHILIPPINES: MINDANAO, ZAMBOANGA, SULU, ISABELA",6,122,33,8.7,9,,,,,,,,3,,3,,,13,1,,,14,1,,3,,3,,
1897,10,18,23,48,,Tsu,,*,PHILIPPINES: NORTHERN SAMAR,12,126,33,8.1,9,,,,,,,,2,17,1,,,,1,,,,,,2,17,1,,
1898,1,15,3,42,,,,*,IRAN: GORGAN (ASTRABAD); TURKMENISTAN,36.5,54.9,5,4.3,8,,,,,,,,2,,,,,,,,,,,,,,,,
1898,4,29,16,18,,,,*,"NICARAGUA: LEON, CHINANDEGA, MANAGUA",12,-86,33,7.9,8,,,,,,,,2,,,,,,,,,,,,2,,,,
1899,3,23,18,0,,,,*,BOLIVIA: SOUTHERN,-21.97,-63.67,10,6.9,10,,,,,,,,,,,,,,,,,,,,,,,,
1899,6,14,11,9,,,,*,JAMAICA,18,-77,60,7.8,5,,,,,,,,,,,,,,,,,,,,,,,,
1899,9,4,0,22,,Tsu,,*,ALASKA: CAPE YAKATAGA,60,-142,25,8.2,11,,,,,,,,1,,,,,,,,,,,,1,,,,
1899,9,10,17,4,,,,*,ALASKA: CAPE YAKATAGA,60,-140,25,7.8,7,,,,,,,,,,,,,,,,,,,,,,,,
1899,9,10,21,41,,Tsu,,*,ALASKA: SE ALASKA,60,-140,60,8.2,11,,,,,,,,1,,,,,,,,,,,,3,,,,
1900,10,29,9,11,,Tsu,,*,VENEZUELA: MACUTO,11,-66,25,8.4,10,,3,,,,,,3,,,,,25,1,,,,,,,,,,
1900,12,25,5,9,,,,*,RUSSIA: KURIL ISLANDS,43,146,40,7.9,9,,,,,,,,,,,,,,,,,,,,,,,,
1901,12,14,22,57,45,,,*,PHILIPPINES: LUZON,14,122,33,7.8,7,,,,,,,,1,,,,,,,,,,,,1,,,,
1902,2,13,9,39,30,,,*,AZERBAIJAN: SEMACHA; N IRAN,40.7,48.6,15,6.9,9,86,2,,,60,2,,4,3496,4,3496,4,86,2,,,60,2,,4,3496,4,,
1902,6,11,5,,,,,*,RUSSIA: SEA OF OKHOTSK,50,148,600,8,4,,,,,,,,,,,,,,,,,,,,,,,,
1902,8,22,3,,,,,*,"CHINA: XINJIANG, TURKESTAN",39.88,76.2,30,7.7,10,2500,4,,,,,,4,,4,,4,2500,4,,,,,,4,,4,,
1902,9,22,1,46,30,,,*,GUAM: AGANA,18,146,33,8.1,9,,,,,,1,,3,,,,,,,,,,1,,3,,,,
1902,12,16,5,7,,,,*,UZBEKISTAN: ANDIZHAN,40.8,72.3,9,6.4,9,4880,4,,,,,,4,41704,4,41704,4,4880,4,,,,,,4,41704,4,,
1903,8,11,4,32,54,,,*,GREECE: MITATA (KYTHERA),36,23,100,7.8,11,2,1,,,,,,3,,,,,2,1,,,,,,3,,,,
1903,12,28,2,56,,,,*,PHILIPPINES: DAVAO GULF,7,126,60,7.8,8,,,,,,,,2,,,,3,,,,,,,,2,,,,3
1904,3,18,13,42,,,,*,JAPAN: HOKKAIDO,42.5,145.8,40,7.6,10,,,,,,,,1,,,,,,,,,,,,,,,,
1904,4,4,10,3,,,,*,BULGARIA: STRUMA,41.8,23.2,15,7.5,10,,,,,,,,3,,,,,,,,,,,,3,,,,
1904,4,4,10,27,,,,*,BULGARIA: STRUMA,41.8,23.2,15,7.8,11,,,,,,,,3,,,,,,,,,,,,3,,,,
1904,6,25,14,45,36,Tsu,,*,RUSSIA: OFF KAMCHATKA,52,159,30,8.3,10,,,,,,,,1,,,,,,,,,,,,1,,,,
1904,6,25,21,0,36,Tsu,,*,RUSSIA: OFF KAMCHATKA,52,159,30,8.1,10,,,,,,,,1,,,,,,,,,,,,1,,,,
1904,6,27,0,9,,,,*,RUSSIA: OFF KAMCHATKA,52,159,60,7.9,9,,,,,,,,,,,,,,,,,,,,,,,,
1904,8,11,5,56,,,,*,"GREECE: SAMOS, PATMOS",37.75,27,10,6.2,10,4,1,,,,,,3,540,3,540,3,4,1,,,,,,3,540,3,,
1905,4,4,0,50,,Tsu,,*,INDIA: KANGRA,33,76,25,7.8,10,19000,4,,,,,,4,,,,,19000,4,,,,,,4,,,,
1905,4,15,,,,,,*,TURKEY,40.2,29,33,6.5,10,,,,,,,,,,,,,,,,,,,,,,,,
1905,6,1,4,42,,,,*,ALBANIA: SHKODER,42.1,19.6,20,6.6,10,120,3,,,,,23.8,3,,,,,,,,,,,,,,,,
1905,9,8,1,43,11,Tsu,,*,"ITALY: MONTELEONE, TROPEA, MONTE PORO",38.67,16.07,15,7.1,11,557,3,,,2000,4,,4,6700,4,,,557,3,,,2000,4,,4,6700,4,,
1905,10,8,7,27,,,,*,BULGARIA,42,23,33,6.4,10,,,,,,,,,,,,,,,,,,,,,,,,
1905,11,8,21,41,,,,*,GREECE: AEGEAN SEA,40.25,24.2,30,7.8,10,,,,,,,,,,,,,,,,,,,,,,,,
1906,1,31,15,35,51,Tsu,,*,ECUADOR: OFF COAST,1,-81.5,25,8.6,9,1000,3,,,,,,2,,3,,,1000,3,,,,,,3,,3,,
1906,3,1,17,45,,,,*,ALBANIA: ELBASAN,41.1,20,15,6.5,10,,,,,,,,3,,,,,,,,,,,,,,,,
1906,4,18,13,12,21,Tsu,,*,CALIFORNIA: SAN FRANCISCO,37.67,-122.48,20,7.9,11,700,3,,,,,400,4,28188,4,,,,,,,,,,,,,,
1906,8,17,0,40,,Tsu,,*,CHILE: SOUTH CENTRAL,-33,-72,25,8.2,11,4000,4,,,,,100,4,,,,,4000,4,,,,,100,4,,,,
1906,9,28,15,24,54,,,*,ECUADOR,-2,-79,150,7.9,7,,,,,,,,1,,,,,,,,,,,,1,,,,
1906,12,22,18,21,,,,*,CHINA: XINJIANG PROVINCE,43.5,85,33,8.3,9,280,3,,,,,,3,2000,4,,,280,3,,,,,,3,2000,4,,
1907,8,16,13,,,,,*,ALBANIA,41.1,20.1,13,6.2,10,,,,,,,,,,,,,,,,,,,,,,,,
1907,10,21,4,23,36,,,*,TAJIKISTAN: KARATAG,38.5,67.9,35,7.4,9,12000,4,,,,,,3,,3,,,12000,4,,,,,,3,,3,,
1907,10,23,20,28,19,Tsu,,*,ITALY: FERRUZANO,38.133,16.017,33,5.9,10,158,3,,,,,,2,,3,,,158,3,,,,,,2,,3,,
1908,12,28,4,20,27,Tsu,,*,"ITALY: MESSINA, SICILY, CALABRIA",38.17,15.58,40,7,11,78000,4,,,,,116,4,,4,,,80000,4,,,,,116,4,,4,,
1909,7,7,21,37,50,,,*,AFGHANISTAN: HINDU-KUSH,36.5,70.5,230,8.1,7,,,,,,,,,,,,,,,,,,,,,,,,
1909,7,15,0,28,,,,*,GREECE: CHAVARI (ELIS),37.9,21.5,4,5.7,10,,1,,,,,,,,,,,,,,,,,,,,,,
1909,12,9,23,28,,Tsu,,*,GUAM,12.5,145,100,8,8,,,,,,,,2,,,,,,,,,,,,2,,,,
1910,6,7,2,5,,,,*,ITALY: CALITRI,40.9,15.4,33,5.9,10,,,,,,,,,,,,,,,,,,,,,,,,
1910,6,24,13,27,,,,*,"ALGERIA: MASQUERAY, KABYLIA",36,4,33,6.4,11,12,1,,,,,,1,,,,,12,1,,,,,,1,,,,
1910,12,30,,,,Tsu,,*,PHILIPPINES: SULU SEA,9,125.5,60,6.2,7,,,,,,,,1,,,,,,,,,,,,1,,,,
1911,1,3,23,25,45,,,*,"KAZAKHSTAN: ALMA-ATA, TURKESTAN",43.5,77.5,25,7.7,10,450,3,,,,,,3,,,,,450,3,,,,,,3,,,,
1911,5,4,23,36,48,,,*,RUSSIA: NEAR KAMCHATKA,51.8,156,240,7.6,7,,,,,,,,,,,,,,,,,,,,,,,,
1911,7,12,4,7,36,Tsu,,*,"PHILIPPINES: MINDANAO: TALACOGON,DAVAO,BUTUAN",9,126,50,7.8,10,,,,,,,,3,,,,3,,,,,,,,3,,,,3
1911,9,22,5,1,24,Tsu,,*,ALASKA: PRINCE WILLIAM SOUND,60.5,-149,60,6.9,8,,,,,,,,,,,,,,,,,,,,1,,,,
1911,10,15,8,52,,,,*,ITALY: ETNA,37.7,15.2,1,4.3,10,,,,,,,,,,,,,,,,,,,,,,,,
1911,12,16,19,14,,,,*,MEXICO: NEAR COAST OF GUERRERO,17,-100.7,50,7.6,4,,,,,,,,,,,,,,,,,,,,,,,,
1912,1,24,16,23,,,,*,GREECE: ASPROGERAKAS (KEPHALLENIA),38,20.5,60,7,10,,2,,,,,,,,,,,,,,,,,,,,,,
1912,5,6,18,59,,,,*,ICELAND,64,-20,60,7.5,11,,,,,,,,,,,,,,,,,,,,,,,,
1912,5,23,2,24,6,,,*,"MYANMAR (BURMA): MANDALAY, MOGOK, MAYMYO",21,97,25,8,9,,1,,,,,,3,,,,,,,,,,,,,,,,
1912,7,24,11,50,,,,*,"PERU: HUANCABAMBA,CAJAMARCA; ECUADOR: GUAYAQUIL",-5.62,-80.413,30,7,10,,3,,,,3,,3,,3,,,,3,,,,3,,3,,3,,
1912,10,31,17,24,,Tsu,,*,"MICRONESIA, FED. STATES OF: CAROLINE ISLANDS",7,138,33,6.9,3,,,,,,,,,,,,,,,,,,,,,,,,
1912,11,7,7,40,,,,*,ALASKA: ALASKA PENINSULA,57.5,-155,90,7.5,5,,,,,,,,,,,,,,,,,,,,,,,,
1913,2,22,2,36,,Tsu,,*,TASMAN SEA,-41.8,171.5,33,6.8,8,,,,,,,,1,,1,,,,,,,,,,1,,1,,
1913,2,24,2,30,,,,*,"ECUADOR: GONZANAMA, SAN PEDRO, MOLLETURE",-3.4,-79.6,50,7.7,7,,3,,,,,,3,,3,,,,3,,,,,,3,,3,,
1913,3,14,8,45,4.3,Tsu,Vol,*,INDONESIA: SANGIHE ISLAND,5.354,126.121,15,7.8,9,138,3,,,,2,,2,,3,,,138,3,,,,2,,2,,3,,
1913,7,28,6,40,,Tsu,,*,PERU: AREQUIPA,-16.6,-73.3,30,7,9,,,,,,,,1,,,,,,,,,,,,1,,,,
1913,8,6,22,14,24,Tsu,,*,"PERU: CARAVELI, CHUQUIBAMBA, OCONA, ATICO",-17,-74,33,7.9,10,,2,,,,,,3,,3,,3,,2,,,,,,3,,3,,3
1913,11,4,21,33,,,,*,"PERU: AMYARAES, ABANCAY, CASAYA, SORAYA",-14.2,-72.9,10,6.3,10,150,3,,,,,,3,,3,,,150,3,,,,,,3,,3,,
1913,12,21,15,37,38,,,*,CHINA: YUNNAN PROVINCE,24.15,102.45,10,7,9,942,3,,,112,3,,3,,4,,,942,3,,,112,3,,3,,4,,
1914,5,26,14,22,47.7,Tsu,,*,INDONESIA: NEW GUINEA: IRIAN JAYA: JAPEN,-1.829,136.943,15,8.1,9,,3,,,,,,2,,3,,,,3,,,,,,2,,3,,
1914,5,31,,,,,,*,ECUADOR: MONTE PULLERINA,-0.2,-78.2,10,5.8,10,,,,,,,,,,,,,,,,,,,,,,,,
1914,11,27,14,39,46,Tsu,,*,GREECE: LEUKAS ISLAND,38.8,20.6,30,6.3,9,14,1,,,,,,3,,3,,2,14,1,,,,,,3,,3,,2
1915,1,13,6,52,38,,,*,"ITALY: MARSICA, AVEZZANO, ABRUZZI",42,13.5,10,7.5,11,29978,4,,,,,60,4,,,,,29978,4,,,,,60,4,,,,
1915,7,31,1,31,23,,,*,RUSSIA: OFF KAMCHATKA,53.5,163.3,20,7.3,10,,,,,,,,,,,,,,,,,,,,,,,,
1915,8,7,15,4,3,Tsu,,*,"GREECE: KEFALLONIA ISLAND, ITHACA ISLAND",38.5,20.7,14,6.7,9,,,,,,,,3,,3,,2,,,,,,,,3,,3,,2
1916,4,24,4,26,42,,,*,DOMINICAN REPUBLIC: SANTO DOMINIGO,18.5,-68,80,7.2,9,,,,,,,,1,,,,,,,,,,,,1,,,,
1916,4,26,2,21,52,Tsu,,*,"PANAMA: ALMIRANTE, BOCAS DEL TORO",9.6,-82,25,7,9,,,,,,,0.025,1,,,,,,,,,,,0.025,1,,,,
1916,10,28,8,15,,,,*,BALKANS NW: SLOVENIA: GORNJI GRAD,46.3,14.6,11,4.9,7,,,,,,,,2,,,,,,,,,,,,,,,,
1917,1,29,8,22,,,,*,BALKANS NW: SLOVENIA: BREZICE,45.9,15.6,13,5.6,8,,,,,,,,3,,,,,,,,,,,,,,,,
1917,4,26,9,36,,,,*,ITALY: CITERNA,43.5,12.1,33,5.5,10,,,,,,,,,,,,,,,,,,,,,,,,
1917,7,30,23,54,5,,,*,CHINA: YUNNAN PROVINCE,28,104,33,6.8,9,1800,4,,,,,,4,,4,,,1800,4,,,,,,4,,4,,
1917,8,31,11,36,18,,,*,"COLOMBIA: BOGOTA, UBAQUE, SOACHA, CAQUEZA",4,-74,40,7.3,8,6,1,,,,2,,1,,1,,,3,1,,,,2,,1,,1,,
1918,2,7,5,20,30,,,*,PHILIPPINES: MINDANAO,6.5,126.5,120,7.5,7,,,,,,,,,,,,,,,,,,,,,,,,
1918,2,13,6,7,13,Tsu,,*,CHINA: GUANGDONG PROVINCE,23.5,117.2,23,7.3,10,2000,4,,,,4,,4,,4,,,2000,4,,,,4,,4,,4,,
1918,8,15,12,18,12,Tsu,,*,PHILIPPINES: MINDANAO: COTABATO,5.5,123,33,8.3,10,46,1,,,,,,3,,,,,52,2,,,,,,3,,,,
1918,10,11,14,14,,Tsu,,*,PUERTO RICO: MONA PASSAGE,18.5,-67.5,60,7.3,9,,3,,,,,4,2,,,,,144,3,100,2,,,4,2,,,,
1919,1,1,1,33,42,Tsu,,*,PHILIPPINES: MINDANAO ISLAND,8,126,33,7.4,7,,,,,,,,,,,,,,,,,,,,,,,,
1919,6,29,15,6,12,,,*,ITALY: N,44,11.5,33,6.2,10,,,,,,,,,,,,,,,,,,,,,,,,
1919,10,22,6,6,,Tsu,,*,ITALY: TYRRHENIAN SEA,41.4,12.6,10,5.6,8,,,,,,,,,,,,,,,,,,,,,,,,
1920,9,7,5,55,40,,,*,"ITALY: CARRARA,GARFAGNANA",44.3,10.3,10,5.8,10,1400,4,,,,,,,,,,,1400,4,,,,,,,,,,
1920,11,26,8,51,7,,,*,"ALBANIA: TEPELENE, DRAGOTI, PESHTANI, MARICAJ",40.2,20,25,6.2,11,200,3,,,,,,3,,3,,,200,3,,,,,,3,,3,,
1920,12,16,12,5,54.7,Tsu,,*,"CHINA: GANSU PROVINCE, SHANXI PROVINCE",36.601,105.317,25,8.3,12,200000,4,,,,,25,4,,,,,200000,4,,,,,25,4,,,,
1920,12,17,18,59,49,,,*,ARGENTINA: MENDOZA,-32.7,-68.4,10,6,8,400,3,,,,,,3,,3,,,400,3,,,,,,3,,3,,
1921,11,11,18,36,8,Tsu,,*,PHILIPPINES: MINDANAO: E,8,127,60,7.5,7,,,,,,,,1,,,,2,,,,,,,,1,,,,2
1922,3,24,12,22,,,,*,BALKANS NW: SERBIA,44.4,20.4,12,6,10,,3,,,,,,3,,,,,,,,,,,,,,,,
1922,11,11,4,32,36,Tsu,,*,CHILE: ATACAMA,-28.553,-70.755,35,8.7,11,500,3,,,,,,3,,3,,,700,3,,,,,,3,,3,,
1923,2,3,16,1,41,Tsu,,*,RUSSIA: KAMCHATKA,54,161,19,8.3,11,,,,,,,,1,,1,,,3,1,,,,,1.5,2,,2,,
1923,2,4,,,,,,*,IRAN: BODZHNURD,37.6,57.3,10,5.5,8,,,,,,,,2,,,,,,,,,,,,,,,,
1923,3,2,16,48,52,Tsu,,*,PHILIPPINES: MINDANAO ISLAND,6.5,124,22,7.2,7,,,,,,,,,,,,,,,,,,,,,,,,
1923,3,24,12,40,6,,,*,CHINA: SICHUAN PROVINCE,31.5,101,13,7.3,10,4800,4,,,,,,3,,4,,,4800,4,,,,,,3,,4,,
1923,4,13,15,31,2,Tsu,,*,RUSSIA: NEAR KAMCHATKA,56.5,162.5,20,7.2,10,,,,,,,,2,,2,,,18,1,,,,,,3,,3,,
1924,4,14,16,20,23,Tsu,,*,"PHILIPPINES: E MINDANAO: MATI,SURIGA",6.5,126.5,33,8.3,9,,,,,,,,3,,3,,,,,,,,,,3,,3,,
1924,8,30,3,4,57,Tsu,,*,"PHILIPPINES: MINDANAO: SURIGAO,BUTUAN",8.5,126.5,33,7.3,9,,,,,,,,2,,2,,,,,,,,,,2,,2,,
1925,5,5,10,6,6,Tsu,,*,"W. LUZON ISLAND, PHILIPPINES",9.3,122.7,33,6.8,9,17,1,,,,,,2,,2,,,17,1,,,,,,2,,2,,
1925,5,25,3,43,6,Tsu,,*,PHILIPPINES: LUZON: W,12.2,122.1,10,6.3,7,,,,,,,,,,,,,,,,,,,,,,,,
1925,6,28,1,21,5,,,*,MONTANA: CLARKSTON VALLEY,46.4,-111.24,25,6.7,8,,,,,,,0.15,1,,,,2,,,,,,,0.15,1,,,,2
1925,6,29,14,42,26.2,,,*,CALIFORNIA: SANTA BARBARA,34.418,-120.196,10,6.8,9,13,1,,,,,8,3,,3,,,13,1,,,,,8,3,,3,,
1925,11,13,12,14,45,Tsu,,*,"PHILIPPINES: SAMAR I, LAOANG I, BATAG I",13,125,22,7.3,9,,,,,,3,,2,,3,,,,2,,,,3,,2,,3,,
1926,6,26,19,46,34,,,*,GREECE: RHODES ISLAND; LOWER EGYPT,36.5,27.5,100,7.9,11,,2,,,,,,3,,,,,,2,,,,,,3,,,,
1926,8,17,1,42,,Tsu,,*,ITALY: SALINA ISLAND,38.567,14.833,100,5.3,7,,,,,,,,3,,,,,,,,,,,,,,,,
1926,10,22,19,59,,,,*,TURKEY; ARMENIA,40.7,43.7,7,5.7,9,360,3,,,,,,4,,,,,,,,,,,,,,,,
1927,5,15,2,47,,,,*,BALKANS NW: SERBIA,44.1,20.5,12,5.9,10,,,,,,,,,,,,,,,,,,,,,,,,
1927,5,22,22,32,42,,,*,CHINA: GANSU PROVINCE,36.75,102,27,7.6,11,40912,4,,,524,3,,4,26674,4,,,40912,4,,,524,3,,4,26674,4,,
1927,6,26,11,20,48,Tsu,,*,UKRAINE: CRIMEA: SEBASTOPOL,44.4,34.4,27,6,7,,,,,,,,2,,,,,,,,,,,,2,,,,
1927,7,1,8,19,4,,,*,GREECE: OETYLOS (LACONIA),36.75,22.75,120,7.3,10,,,,,,,,,,,,,,,,,,,,,,,,
1927,9,11,22,15,48,Tsu,,*,UKRAINE: CRIMEA: SEBASTOPOL,44.4,34.5,17,6.8,9,11,1,,,122,3,,4,,4,,4,11,1,,,122,3,,4,,4,,4
1927,9,24,6,18,58,,,*,UKRAINE: CRIMEA: SEBASTOPOL,44.4,34.3,23,5.7,7,,,,,,2,,,,1,,2,,,,,,2,,1,,,,2
1927,10,24,15,59,44.8,Tsu,,*,ALASKA: SE ALASKA,57.69,-136.07,0,7.1,7,,,,,,,,1,,,,,,,,,,,,,,,,
1927,11,4,13,50,43,Tsu,,*,CALIFORNIA: S: OFF COAST,34.813,-120.774,10,7.3,8,,,,,,,,2,,,,,,,,,,,,2,,,,
1928,3,27,8,32,28,,,*,ITALY: TOLMEZZO,46.4,13,33,5.8,9,,,,,40,1,,2,,3,,,,,,,40,1,,2,,3,,
1928,4,9,17,34,15,Tsu,,*,PERU,-13,-69.5,30,6.9,9,,,,,,,,3,,3,,,10,1,,,,,,3,,3,,
1928,4,14,8,59,43,,,*,BULGARIA: CHIRPAN,42.2,25.3,7,6.8,10,127,3,,,1735,4,,4,74750,4,,,127,3,,,1735,4,,4,74750,4,,
1928,4,18,19,22,40,,,*,BULGARIA: POPOVITSA,42.1,25,10,7,11,,3,,,,4,,4,,4,,,,3,,,,4,,4,,4,,
1928,4,22,20,13,46,Tsu,,*,GREECE: CORINTH (CORINTHIA),38,23,29,6,9,20,1,,,,,,4,3000,4,,,20,1,,,,,,4,3000,4,,
1928,6,15,6,12,36,Tsu,,*,PHILIPPINES: SW MINDORO,12.4,120.9,33,7,8,,,,,,,,2,,2,,,,,,,,,,2,,2,,
1928,7,18,19,5,,Tsu,,*,PERU,-5.5,-79,70,7,6,,,,,,,,,,,,,,,,,,,,,,,,
1928,8,21,19,1,,,,*,IRAN: SHIRVAN,37.3,57.9,9,5.4,8,10,1,,,,,,2,,,,,,,,,,,,,,,,
1928,12,1,4,6,12,Tsu,,*,"CHILE: TALCA, CHILLAN, SANTIAGO, SAN FERNANDO",-35,-72,25,7.6,9,279,3,,,,,,3,,3,,,279,3,,,,,,3,,3,,
1929,1,13,0,3,,,,*,RUSSIA: KURIL ISLANDS,49.8,154.8,140,7.7,7,,,,,,,,,,,,,,,,,,,,,,,,
1929,3,7,1,34,,Tsu,,*,ALASKA: ALEUTIAN ISLANDS: FOX ISLANDS,51,-170,50,7.8,5,,,,,,,,,,,,,,,,,,,,,,,,
1929,5,18,6,37,,,,*,TURKEY: SUSEHRI,40.2,37.9,10,6.5,8,64,2,,,,,,,,,,,,,,,,,,,,,,
1929,7,23,18,42,,,,*,ICELAND,63.9,-21.7,33,6.3,10,,,,,,,,,,,,,,,,,,,,,,,,
1929,11,18,20,32,,Tsu,,*,CANADA: GRAND BANKS,44.69,-56,18,7.3,6,,,,,,,,1,,,,,28,1,,,,,1,2,,,,
1930,1,28,6,25,,,,*,"ALBANIA: KORCE, POLENA, LAVDAR, MOSKOPOJE, SHIPSKE",40.4,20.5,33,5.6,10,,,,,,,,,,,,,,,,,,,,,,,,
1930,2,14,18,38,,,,*,GREECE: AITANIA-VATHIA (CRETE),35.8,24.8,130,6.7,11,,2,,,,,,,,,,,,,,,,,,,,,,
1930,7,23,0,9,,,,*,ITALY: IRPINIA,41.1,15.4,7,6.5,10,1430,4,,,,,,3,3188,4,,,,,,,,,,,,,,
1930,8,31,0,40,38,Tsu,,*,CALIFORNIA: SOUTHERN,34.03,-118.643,15,5.2,7,,,,,,,,1,,,,,1,1,,,,,,1,,,,
1930,11,21,2,0,25,,,*,"ALBANIA: VLORE, HIMARE, KUC",40.5,19.5,12,6,11,35,1,,,108,3,,3,980,3,,,,,,,,,,,,,,
1930,12,2,13,29,,,,*,"ALBANIA: VLORE, TEPELENE",40.3,19.6,4,5,9,25,1,,,,,,2,,,,,,,,,,,,,,,,
1930,12,24,6,2,50,,,*,ARGENTINA: LA POMA,-24.7,-66.3,30,6,8,39,1,,,,3,,3,,3,,3,39,1,,,,3,,3,,3,,
1931,1,15,1,50,,,,*,MEXICO: OAXACA,16.1,-96.8,50,7.9,10,,,,,,,,,,,,,,,,,,,,,,,,
1931,1,28,5,55,,,,*,ALBANIA: KORCE,40.6,20.8,33,5.8,9,90,2,,,,,,3,,,,,,,,,,,,,,,,
1931,2,2,22,46,51.3,Tsu,,*,NEW ZEALAND: HAWKE BAY,-39.772,176.025,35,7.7,9,256,3,2,1,400,3,25,4,,,,,256,3,2,1,400,3,25,4,,,,
1931,3,8,1,50,24,,,*,GREECE,41,22.5,120,6.9,10,,,,,,,,,,,,,,,,,,,,,,,,
1931,4,27,16,50,,,,*,"ARMENIA: ZANGEZUR, NAKHITCHEVAN",39.2,46,22,6.3,8,2890,4,,,,,,4,,,,,,,,,,,,,,,,
1931,6,7,0,25,21,Tsu,,*,"UK: SCARBOROUGH, GRIMSBY",54,1.067,70,6,8,,,,,,,,1,,,,1,,,,,,,,1,,,,1
1931,8,10,21,18,43,,,*,CHINA: XINJIANG WEIWUER ZIZHIQU PROVINCE: N,47.1,89.8,25,8,11,10000,4,,,,,,4,,4,,,10000,4,,,,,,4,,4,,
1932,1,20,2,30,,,,*,PERU,-12,-77.5,100,6.8,9,,,,,,,,,,,,,,,,,,,,,,,,
1932,4,6,9,11,18,,,*,CHINA: HUBEI PROVINCE,31.4,115,15,6,8,6,1,,,27,1,,2,,3,,,6,1,,,27,1,,2,,3,,
1932,5,20,19,16,,,,*,IRAN: TORBET-I-KHEYDARLY,36.6,53.4,12,5.4,8,1070,4,,,,,,3,,,,,,,,,,,,,,,,
1932,6,3,10,36,50,Tsu,,*,MEXICO: NEAR COAST OF JALISCO,19.5,-104.25,60,8.1,10,400,3,,,120,3,,3,,3,,,400,3,,,120,3,,3,,3,,
1932,6,18,10,12,16.1,Tsu,,*,"MEXICO: CENTRAL, COLIMA",19.452,-103.632,54,7.9,10,,,,,,,,2,,,,,,,,,,,,2,,,,
1932,9,26,19,20,42,Tsu,,*,GREECE: HIERISSOS-STRANTONION (CHALKIDIKI),40.5,23.9,35,6.9,10,161,3,,,669,3,,4,4106,4,3218,4,161,3,,,669,3,,4,4106,4,3218,4
1933,3,11,1,54,7.8,Tsu,,*,CALIFORNIA: LONG BEACH,33.62,-117.97,16,6.3,9,120,3,,,,,40,4,,,,,,,,,,,,,,,,
1933,4,23,5,57,,Tsu,,*,GREECE: DODECANESE ISLANDS,36.8,27.2,16,6.4,10,,,,,,,,,,,,,,,,,,,,,,,,
1933,11,3,4,14,,,,*,CHILE,-22,-70.5,70,5.5,10,,,,,,,,,,,,,,,,,,,,,,,,
1934,1,15,8,43,25,Tsu,,*,NEPAL; INDIA: BIHAR,26.773,86.762,35,8,11,10600,4,,,,,,4,,4,,4,10600,4,,,,,,4,,4,,
