,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,,,,,,Assoc,,Addl,Earthquake Location,,,Earthquake Parameters,,,Earthquake Effects,,,,,,,,,,,,"Total Effects (Earthquake and Tsunami, Volcano, etc.)",,,,,,,,,,,
,,,,,,,,EQ,,,,Focal,Mag,MMI Int,Deaths,,Missing,,Injuries,,Damage,,Houses,,Houses,,Deaths,,Missing,,Injuries,,Damage,,Houses,,Houses,
,,,,,,,,Info,,,,Depth,,,,,,,,,,,Destroyed,,Damaged,,,,,,,,,,Destroyed,,Damaged,
Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,,Name,Latitude,Longitude,,,,Num,De,Num,De,Num,De,$Mill,De,Num,De,Num,De,Num,De,Num,De,Num,De,$Mill,De,Num,De,Num,De
1590,,,,,,Tsu,,*,"PERU: CUSCO, CAMANA",-17.2,-72.9,40,7.7,7,,1,,,,,,1,,1,,,,1,,,,,,2,,2,,
1600,2,28,20,,,,,*,PERU: OMATE,-16.6,-70.8,20,8.1,10,,,,,,,,1,,,,,,,,,,,,,,,,
1604,11,24,18,30,,Tsu,,*,PERU: AREQUIPA; CHILE: ARICA,-17.88,-70.94,30,8.5,11,100,2,,,,,,3,,3,,,174,3,,,,,,3,,3,,
1609,10,20,1,,,,,*,PERU,-11.9,-77.4,40,8.6,8,,,,,,,,,,,,,,,,,,,,,,,,
1619,2,14,16,30,,,,*,"PERU: TRUJILLO, PIURA, SANTA",-7.941,-79.038,40,8.6,9,350,3,,,,,,3,,,,,350,3,,,,,,3,,,,
1620,,,,,,,,*,UZBEKISTAN: AKHSY,40.9,71.4,6,5.8,9,,3,,,,,,3,,,,,,,,,,,,,,,,
1628,6,17,18,,,,,*,"BALKANS NW: SLOVENIA: KRISKO,BRESTANICA",46,15.5,6,5,8,,,,,,,,2,,,,,,,,,,,,,,,,
1629,3,9,9,,,Tsu,,*,GREECE: ISLANDS OF CYTHERA AND CRETE,36,25,70,7,8,,3,,,,,,3,,3,,,,3,,,,,,3,,3,,
1630,11,27,16,30,,,,*,PERU: LIMA,-12.2,-77.5,30,8.1,7,,1,,,,,,1,,,,,,,,,,,,,,,,
1640,2,27,,,,,,*,IRAN: TABRIZ,38.2,46.3,15,5.1,7,,,,,,,,2,,,,,,,,,,,,,,,,
1652,6,8,,,,,,*,RUSSIA: CAUCASUS,42.1,47.7,10,5.8,9,,1,,,,,,2,,,,,,1,,,,,,2,,,,
1655,11,13,19,45,,Tsu,,*,"PERU: LIMA, CALLAO",-12.3,-77.6,30,7.7,10,,,,,,,,2,,3,,,,,,,,,,2,,3,,
1664,5,12,9,15,,,,*,"PERU: ICA, PISCO",-14.1,-75.8,15,7.3,10,400,3,,,,,,3,,,,,,,,,,,,,,,,
1667,11,,,,,,,*,AZERBAIJAN: SHEMAKHA (SAMAXI),40.6,48.6,12,6.9,10,80000,4,,,,,,4,,4,,,80000,4,,,,,,4,,4,,
